"locationId","city","country","latitudeCountry","longitudeCountry"
"135","Kuala Lumpur","Cambodia","12.565679","104.990963"
"136","Beirut","Lebanon","33.854721","35.862285"
"137","Athens","France","46.227638","2.213749"
"138","Muscat","Oman","21.4735329","55.975413"
"139","New Delhi","Hong Kong","22.396428","114.109497"
"140","Dublin","Ireland","53.41291","-8.24389"
"141","Wellington","Singapore","1.352083","103.819836"
"142","Canberra","United States","37.09024","-95.712891"
"143","Reykjavik","United Kingdom","55.378051","-3.435973"
"144","Nicosia","Cyprus","35.126413","33.429859"
"145","New Delhi","Singapore","1.352083","103.819836"
"146","Taipei","Singapore","1.352083","103.819836"
"147","Taipei","United States","37.09024","-95.712891"
"148","Washington, D.C.","Switzerland","46.818188","8.227512"
"149","St. Peter Port","Guernsey","49.465691","-2.585278"
"150","Monaco","United States","37.09024","-95.712891"
"151","Rome","Switzerland","46.818188","8.227512"
"152","Bern","United Kingdom","55.378051","-3.435973"
"153","Vaduz","Liechtenstein","47.1410392","9.520935"
"154","Canberra","Bahamas","25.03428","-77.39628"
"155","Ottawa","China","35.86166","104.195397"
"156","Nicosia","United States","37.09024","-95.712891"
"157","Sofia","United Kingdom","55.378051","-3.435973"
"158","Beirut","Switzerland","46.818188","8.227512"
"159","Moscow","Cyprus","35.126413","33.429859"
"160","Bangkok","United Arab Emirates","23.424076","53.847818"
"161","Ankara","United States","37.09024","-95.712891"
"162","London","Turks and Caicos Islands","-71.797928","-71.797928"
"163","Bern","Monaco","43.7384176","7.4246158"
"164","New Delhi","Thailand","15.870032","100.992541"
"165","Bucharest","Romania","45.943161","24.96676"
"166","Oslo","Switzerland","46.818188","8.227512"
"167","Warsaw","United Kingdom","55.378051","-3.435973"
"168","Harare","United Kingdom","55.378051","-3.435973"
"169","London","Hong Kong","22.396428","114.109497"
"170","Doha","Qatar","25.354826","51.183884"
"171","Buenos Aires","Uruguay","-32.522779","-55.765835"
"172","Kathmandu","Nepal","28.394857","84.124008"
"173","Washington, D.C.","Hong Kong","22.396428","114.109497"
"174","Kuala Lumpur","Australia","-25.274398","133.775136"
"175","Bratislava","Slovakia","48.669026","19.699024"
"176","Bucharest","United States","37.09024","-95.712891"
"177","Moscow","Austria","47.516231","14.550072"
"178","Muscat","United Arab Emirates","23.424076","53.847818"
"179","Rabat","Morocco","31.791702","-7.09262"
"180","London","United Arab Emirates","23.424076","53.847818"
"181","Budapest","Hungary","47.162494","19.503304"
"182","Dodoma","Tanzania","-6.369028","34.888822"
"183","Beirut","Bahrain","26.0667","50.5577"
"184","Lima","Peru","-9.189967","-75.015152"
"185","Madrid","Andorra","42.506285","1.521801"
"186","Vienna","Switzerland","46.818188","8.227512"
"187","Stockholm","United States","37.09024","-95.712891"
"188","Beirut","France","46.227638","2.213749"
"189","Berlin","United Kingdom","55.378051","-3.435973"
"190","Warsaw","Switzerland","46.818188","8.227512"
"191","Brasília","Hong Kong","22.396428","114.109497"
"192","Bridgetown","United States","37.09024","-95.712891"
"193","Macau","China","35.86166","104.195397"
"194","Paris","Singapore","1.352083","103.819836"
"195","Tallinn","United Kingdom","55.378051","-3.435973"
"196","Copenhagen","Switzerland","46.818188","8.227512"
"197","Moscow","United States","37.09024","-95.712891"
"198","Moscow","Australia","-25.274398","133.775136"
"199","Basseterre","Cayman Islands","19.513469","-80.566956"
"200","Beirut","United Kingdom","55.378051","-3.435973"
"201","Brasília","United Kingdom","55.378051","-3.435973"
"202","Amsterdam","United States","37.09024","-95.712891"
"203","Yerevan","Armenia","40.069099","45.038189"
"204","Stockholm","Hong Kong","22.396428","114.109497"
"205","Nicosia","Monaco","43.7384176","7.4246158"
"206","Stockholm","Belgium","50.503887","4.469936"
"207","Washington, D.C.","India","20.593684","78.96288"
"208","Beijing","United States","37.09024","-95.712891"
"209","Dhaka","Singapore","1.352083","103.819836"
"210","Jerusalem","Ukraine","48.379433","31.16558"
"211","Panama City","Panama","8.537981","-80.782127"
"212","Brasília","Bermuda","32.321384","-64.75737"
"213","Vienna","Monaco","43.7384176","7.4246158"
